Jaccard
Opening and cleaning files...
Getting k-grams...
Getting minHashes...
Calculating empirical...
Calculating theoretical...
['hamlet_chapter1', 'hamlet_chapter2', 'hamlet_chapter3', 'hamlet_chapter4', 'hamlet_chapter5', 'kingLear_chapter1', 'kingLear_chapter2', 'kingLear_chapter3', 'kingLear_chapter4', 'kingLear_chapter5', 'othello_chapter1', 'othello_chapter2', 'othello_chapter3', 'othello_chapter4', 'othello_chapter5', 'romeoJuliet_chapter1', 'romeoJuliet_chapter2', 'romeoJuliet_chapter3', 'romeoJuliet_chapter4', 'romeoJuliet_chapter5', 'romeoJuliet_prologue', 'ulysses_chapter1', 'ulysses_chapter2', 'ulysses_chapter3']
Comparison: empirical | theoretical | sanity-check
kingLear_chapter2 vs othello_chapter4:  0.08984375 | 0.09980018361505644 | 1.0
kingLear_chapter2 vs othello_chapter5:  0.06640625 | 0.08516283273564827 | 1.0
kingLear_chapter2 vs romeoJuliet_chapter1:      0.08203125 | 0.09134393589899235 | 0.9
kingLear_chapter2 vs romeoJuliet_chapter2:      0.08203125 | 0.08969515035453651 | 1.0
kingLear_chapter2 vs romeoJuliet_chapter3:      0.1015625 | 0.09397378250422288 | 1.0
kingLear_chapter2 vs romeoJuliet_chapter4:      0.07421875 | 0.08230234659852285 | 0.9
kingLear_chapter2 vs romeoJuliet_chapter5:      0.07421875 | 0.08088146264680954 | 0.896551724137931
kingLear_chapter2 vs romeoJuliet_prologue:      0.0 | 0.007251397164103275 | 0.8888888888888888
kingLear_chapter2 vs ulysses_chapter1:  0.046875 | 0.06544883280101789 | 0.7714285714285715
kingLear_chapter2 vs ulysses_chapter2:  0.04296875 | 0.03054132590395734 | 0.7297297297297297
kingLear_chapter2 vs ulysses_chapter3:  0.03125 | 0.0436748281244475 | 0.7297297297297297
kingLear_chapter3 vs kingLear_chapter3: 1.0 | 1.0 | 1.0
kingLear_chapter3 vs kingLear_chapter4: 0.109375 | 0.10888950992098778 | 0.9
kingLear_chapter3 vs kingLear_chapter5: 0.07421875 | 0.09689010035931112 | 0.9
kingLear_chapter3 vs othello_chapter1:  0.1015625 | 0.09310897028545284 | 0.9
kingLear_chapter3 vs othello_chapter2:  0.08203125 | 0.09164964313636478 | 0.9
kingLear_chapter3 vs othello_chapter3:  0.10546875 | 0.09496923816998759 | 0.9
kingLear_chapter3 vs othello_chapter4:  0.0859375 | 0.08776407972628035 | 0.9
kingLear_chapter3 vs othello_chapter5:  0.07421875 | 0.08402788076523802 | 0.9
kingLear_chapter3 vs romeoJuliet_chapter1:      0.078125 | 0.08858674272226594 | 1.0
kingLear_chapter3 vs romeoJuliet_chapter2:      0.0859375 | 0.08687440982058546 | 0.9
kingLear_chapter3 vs romeoJuliet_chapter3:      0.09765625 | 0.0909638119086028 | 0.9
kingLear_chapter3 vs romeoJuliet_chapter4:      0.0703125 | 0.07764839893684344 | 1.0
kingLear_chapter3 vs romeoJuliet_chapter5:      0.0546875 | 0.07862816329043779 | 0.9333333333333333
kingLear_chapter3 vs romeoJuliet_prologue:      0.00390625 | 0.0061887079881938496 | 0.8
kingLear_chapter3 vs ulysses_chapter1:  0.03125 | 0.06339251884660108 | 0.8055555555555556
kingLear_chapter3 vs ulysses_chapter2:  0.00390625 | 0.029825236507928576 | 0.8108108108108109
kingLear_chapter3 vs ulysses_chapter3:  0.02734375 | 0.04183277009935852 | 0.8108108108108109
kingLear_chapter4 vs kingLear_chapter4: 1.0 | 1.0 | 1.0
kingLear_chapter4 vs kingLear_chapter5: 0.078125 | 0.1003248339897088 | 1.0
kingLear_chapter4 vs othello_chapter1:  0.0859375 | 0.10060946348018043 | 1.0
kingLear_chapter4 vs othello_chapter2:  0.1015625 | 0.09758127809356197 | 1.0
kingLear_chapter4 vs othello_chapter3:  0.0625 | 0.0982161994808164 | 1.0
kingLear_chapter4 vs othello_chapter4:  0.078125 | 0.09514211358881461 | 1.0
kingLear_chapter4 vs othello_chapter5:  0.0625 | 0.08405534009956817 | 1.0
kingLear_chapter4 vs romeoJuliet_chapter1:      0.07421875 | 0.08923702574056103 | 0.9
kingLear_chapter4 vs romeoJuliet_chapter2:      0.07421875 | 0.0897618813342517 | 1.0
kingLear_chapter4 vs romeoJuliet_chapter3:      0.09765625 | 0.09565612917898567 | 1.0
kingLear_chapter4 vs romeoJuliet_chapter4:      0.07421875 | 0.07772913018096907 | 0.9
kingLear_chapter4 vs romeoJuliet_chapter5:      0.07421875 | 0.08396968396968398 | 0.896551724137931
kingLear_chapter4 vs romeoJuliet_prologue:      0.00390625 | 0.005235382811191154 | 0.8888888888888888
kingLear_chapter4 vs ulysses_chapter1:  0.03515625 | 0.07014847649651354 | 0.7714285714285715
